코드명,상위코드,코드
기숙사(02),02000,02007
제과점(03),03000,03111
이(미)용원(03),03000,03003
일반목욕장(03),03000,03004
조산소(03),03000,03018
동사무소(03),03100,03101
전신전화국(03),03100,03106
지역의료보험조합(03),03100,03110
제과점(04),04000,04028
게임제공업소(04),04000,04007
어린이집(04),04000,04013
총포판매소(04),04000,04015
의약품도매점(04),04000,04017
세탁소(04),04000,04021
멀티미디어문화컨텐츠설비제공업소(04),04000,04022
복합유통게임제공업소(04),04000,04027
청소년게임제공업소(04),04000,04026
복합유통.제공업소(04),04000,04023
인터넷컴퓨터게임시설제공업소(04),04000,04025
물놀이형시설(13),13000,13012
물놀이형시설(04),04100,04108
극장(영화관)(04),04300,04301
의약품판매소(04),04000,04030
단독주택(01),00000,01000
의료기기판매소(04),04000,04031
부동산중개업소(04),04400,04403
단독주택(01),01000,01001
다중주택(01),01000,01002
다가구주택(01),01000,01003
공관(01),01000,01004
극장(영화관)(05),05100,05101
납골당(제2종근생 제외)(06),06100,06109
도매시장(07),07000,07001
복합유통게임제공업소(07),07000,07207
게임제공업소(07),07000,07202
청소년게임제공업소(07),07000,07206
멀티미디어문화컨텐츠설비제공업소(07),07000,07203
복합유통.제공업소(07),07000,07204
일반게임제공의시설(07),07000,07208
인터넷컴퓨터게임시설제공업소(07),07000,07205
화물터미널(08),08000,08002
철도역사(08),08000,08003
항만시설(터미널)(08),08000,08005
종합여객시설(08),08000,08006
격리병원(09),09100,09106
요양소(09),09100,09108
장례식장(09),09000,09301
교육(연수)원(10),10000,10001
학원(10),10000,10003
연구소(10),10000,10004
공동주택(02),00000,02000
아파트(02),02000,02001
연립주택(02),02000,02002
다세대주택(02),02000,02003
생활편익시설(02),02000,02004
부대시설(02),02000,02005
복리시설(02),02000,02006
기숙사(02),02000,02100
일반기숙사(02),02100,02101
유치원(11),11100,11101
임대형기숙사(02),02100,02102
청소년수련원(관)(12),12100,12101
유스호스텔(12),12100,12102
청소년수련원(관)(12),12200,12201
운동장시설(13),13000,13002
호텔(15),15100,15101
여관(15),15100,15102
여인숙(15),15100,15103
특수목욕장(16),16000,16003
유기장(16),16000,16004
투전기업소(16),16000,16005
무도장(학원)(16),16000,16006
주점영업(16),16000,16007
카지노업소(16),16000,16008
일반공장(17),17000,17100
창고(18),18000,18001
유독물보관저장시설(19),19000,19007
고압가스충전저장소(19),19000,19008
제1종근린생활시설(03),00000,03000
소매점(03),03000,03001
수퍼마켓(03),03000,03030
휴게음식점(03),03000,03002
제과점(03),03000,03029
이용원(03),03000,03026
미용원(03),03000,03027
목욕장(03),03000,03025
세탁소(03),03000,03013
의원(03),03000,03005
치과의원(03),03000,03014
한의원(03),03000,03015
침술원(03),03000,03016
버섯재배사(21),21000,21003
접골원(03),03000,03017
조산원(03),03000,03028
안마원(03),03000,03031
산후조리원(03),03000,03032
탁구장(03),03000,03019
체육도장(03),03000,03020
체육장(03),03000,03006
공공시설(03),03000,03100
지역자치센터(03),03100,03112
파출소(03),03100,03103
지구대(03),03100,03113
경찰서(03),03100,03102
소방서(03),03100,03104
우체국(03),03100,03105
방송국(03),03100,03107
보건소(03),03100,03108
공공도서관(03),03100,03109
건강보험공단사무소(03),03100,03115
기타공공시설(03),03100,03199
분뇨.쓰레기처리시설(22),00000,22000
마을회관(03),03000,03021
분뇨처리시설(22),22000,22001
폐기물처리시설(22),22000,22002
마을공동작업소(03),03000,03022
폐기물처리시설및폐기물감량화시설(22),22000,22005
폐기물재활용시설(22),22000,22003
마을공동구판장(03),03000,03023
고물상(22),22000,22004
공중화장실(03),03000,03012
기타분뇨쓰레기처리시설(22),22000,22999
대피소(03),03000,03011
지역아동센터(03),03000,03024
교정및군사시설(23),00000,23000
감화원(23),23000,23001
마을공동시설(03),03000,03007
변전소(03),03000,03008
군사시설(23),23000,23002
교도소(23),23000,23100
도시가스배관시설(03),03000,03034
국방ㆍ군사시설(23),23000,23003
통신용 시설(03),03000,03035
구치소(23),23100,23101
정수장(03),03000,03010
소년원(23),23100,23102
양수장(03),03000,03009
소년분류심사원(23),23100,23103
기타교정및군사시설(23),23000,23999
사무소(03),03000,03200
금융업소(03),03200,03201
방송국(24),24000,24001
사무소(03),03200,03202
부동산중개사무소(03),03200,03203
결혼상담소(03),03200,03204
출판사(03),03200,03205
기타사무소(03),03200,03299
전기자동차충전소(03),03000,03300
동물병원(03),03000,03036
동물미용실(03),03000,03037
동물위탁시설(03),03000,03038
화장장(26),26000,26001
기타제1종근린생활시설(03),03000,03999
납골당(26),26000,26002
관광지시설(27),27000,27006
근린생활시설(Z3),00000,Z3000
소매점(Z3),Z3000,Z3001
휴게음식점(Z3),Z3000,Z3002
이(미)용원(Z3),Z3000,Z3003
일반목욕장(Z3),Z3000,Z3004
의원(Z3),Z3000,Z3005
체육장(Z3),Z3000,Z3006
마을공동시설(Z3),Z3000,Z3007
변전소(Z3),Z3000,Z3008
양수장(Z3),Z3000,Z3009
정수장(Z3),Z3000,Z3010
대피소(Z3),Z3000,Z3011
공중화장실(Z3),Z3000,Z3012
치과의원(Z3),Z3000,Z3014
한의원(Z3),Z3000,Z3015
침술원(Z3),Z3000,Z3016
접골원(Z3),Z3000,Z3017
조산소(Z3),Z3000,Z3018
탁구장(Z3),Z3000,Z3019
체육도장(Z3),Z3000,Z3020
마을공회당(Z3),Z3000,Z3021
마을공동작업소(Z3),Z3000,Z3022
마을공동구판장(Z3),Z3000,Z3023
공공시설(Z3),Z3000,Z3100
동사무소(Z3),Z3100,Z3101
경찰서(Z3),Z3100,Z3102
파출소(Z3),Z3100,Z3103
소방서(Z3),Z3100,Z3104
우체국(Z3),Z3100,Z3105
전신전화국(Z3),Z3100,Z3106
방송국(Z3),Z3100,Z3107
보건소(Z3),Z3100,Z3108
공공도서관(Z3),Z3100,Z3109
기타공공시설(Z3),Z3100,Z3199
제2종근린생활시설(04),00000,04000
일반음식점(Z3),Z3000,Z3201
공연장(04),04000,04300
휴게음식점(Z3),Z3000,Z3202
극장(04),04300,04306
영화관(04),04300,04307
기원(Z3),Z3000,Z3203
서점(Z3),Z3000,Z3204
연예장(04),04300,04303
제조업소(Z3),Z3000,Z3205
음악당(04),04300,04302
수리점(Z3),Z3000,Z3206
서커스장(04),04300,04308
비디오물감상실(04),04300,04304
게임제공업소(Z3),Z3000,Z3207
비디오물소극장(04),04300,04305
사진관(Z3),Z3000,Z3208
표구점(Z3),Z3000,Z3209
기타공연장(04),04300,04399
종교집회장(04),04000,04200
학원(Z3),Z3000,Z3210
장의사(Z3),Z3000,Z3211
교회(04),04200,04201
동물병원(Z3),Z3000,Z3212
성당(04),04200,04202
사찰(04),04200,04203
독서실(Z3),Z3000,Z3214
기도원(04),04200,04204
총포판매소(Z3),Z3000,Z3215
수도원(04),04200,04205
단란주점(Z3),Z3000,Z3216
수녀원(04),04200,04206
의약품도매점(Z3),Z3000,Z3217
제실(04),04200,04207
자동차영업소(Z3),Z3000,Z3218
안마시술소(Z3),Z3000,Z3219
사당(04),04200,04208
노래연습장(Z3),Z3000,Z3220
기타종교집회장(04),04200,04299
자동차영업소(04),04000,04018
세탁소(Z3),Z3000,Z3221
서점(1종근.생미해당)(04),04000,04004
운동시설(Z3),Z3000,Z3300
안마시술소(04),04000,04019
테니스장(Z3),Z3300,Z3301
노래연습장(04),04000,04020
체력단련장(Z3),Z3300,Z3302
에어로빅장(Z3),Z3300,Z3303
안마원(04),04000,04034
총포판매소(04),04000,04042
볼링장(Z3),Z3300,Z3304
사진관(04),04000,04008
당구장(Z3),Z3300,Z3305
실내낚시터(Z3),Z3300,Z3306
표구점(04),04000,04009
청소년게임제공업소(04),04000,04045
골프연습장(Z3),Z3300,Z3307
복합유통게임제공업소(04),04000,04046
기타운동시설(Z3),Z3300,Z3399
종교집회장(Z3),Z3000,Z3400
인터넷컴퓨터게임시설제공업소(04),04000,04044
가상현실체험제공업소(04),04000,04048
교회(Z3),Z3400,Z3401
기타게임시설(04),04000,04047
성당(Z3),Z3400,Z3402
사찰(Z3),Z3400,Z3403
휴게음식점(04),04000,04002
기타종교집회장(Z3),Z3400,Z3499
제과점(04),04000,04036
공연장(Z3),Z3000,Z3500
일반음식점(04),04000,04001
장의사(04),04000,04011
극장(영화관)(Z3),Z3500,Z3501
음악당(Z3),Z3500,Z3502
동물병원(04),04000,04012
동물미용실(04),04000,04041
연예장(Z3),Z3500,Z3503
동물위탁시설(04),04000,04049
기타공연장(Z3),Z3500,Z3599
학원(04),04000,04010
사무소(Z3),Z3000,Z3600
금융업소(Z3),Z3600,Z3601
교습소(04),04000,04040
직업훈련소(04),04000,04024
사무소(Z3),Z3600,Z3602
독서실(04),04000,04014
부동산중개업소(Z3),Z3600,Z3603
결혼상담소(Z3),Z3600,Z3604
기원(04),04000,04003
기타사무소(Z3),Z3600,Z3699
운동시설(04),04000,04100
기타근린생활시설(Z3),Z3000,Z3999
테니스장(04),04100,04101
문화및집회시설(Z5),00000,Z5000
체력단련장(04),04100,04102
판매및영업시설(Z6),00000,Z6000
에어로빅장(04),04100,04103
대규모소매점(Z6),Z6000,Z6205
볼링장(04),04100,04104
당구장(04),04100,04105
기타판매및영업시설(Z6),Z6000,Z6999
축사(Z7),00000,Z7001
실내낚시터(04),04100,04106
골프연습장(04),04100,04107
가축시설(Z7),00000,Z7002
놀이형시설(04),04100,04109
교육연구및복지시설(Z8),00000,Z8000
기타교육연구및복지시설(Z8),Z8000,Z8999
기타운동시설(04),04100,04199
사무소(04),04000,04400
공공용시설(Z9),00000,Z9000
금융업소(04),04400,04401
교도소(Z9),Z9000,Z9001
사무소(04),04400,04402
기타공공용시설(Z9),Z9000,Z9999
부동산중개사무소(04),04400,04406
결혼상담소(04),04400,04404
소개업소(04),04400,04033
출판사(04),04400,04405
기타사무소(04),04400,04499
다중생활시설(04),04000,04043
제조업소(04),04000,04005
수리점(04),04000,04006
단란주점(04),04000,04016
기타제2종근린생활시설(04),04000,04999
고시원(15),15000,15300
고시원(15),15000,15001
사행행위업소(16),16000,16013
문화및집회시설(05),00000,05000
공연장(05),05000,05100
극장(05),05100,05107
영화관(05),05100,05108
연예장(05),05100,05103
음악당(05),05100,05102
서커스장(05),05100,05104
비디오물감상실(05),05100,05105
비디오물소극장(05),05100,05106
기타공연장(05),05100,05199
집회장(05),05000,05200
예식장(05),05200,05201
공회당(05),05200,05203
회의장(05),05200,05202
마권장외발매소(05),05200,05204
마권전화투표소(05),05200,05205
기타집회장(05),05200,05299
관람장(05),05000,05300
경마장(05),05300,05301
경륜장(05),05300,05305
경정장(05),05300,05306
자동차경기장(05),05300,05302
체육관(05),05300,05303
운동장(05),05300,05304
기타관람장(05),05300,05399
전시장(05),05000,05400
박물관(05),05400,05401
미술관(05),05400,05402
교정시설(23),23000,23200
과학관(05),05400,05403
보호감호소(23),23200,23201
구치소(23),23200,23202
문화관(05),05400,05407
체험관(05),05400,05408
교도소(23),23200,23203
보호관찰소(23),23000,23004
기념관(05),05400,05404
갱생보호소(23),23000,23005
산업전시장(05),05400,05405
소년원(23),23000,23006
박람회장(05),05400,05406
기타전시장(05),05400,05499
소년분류심사원(23),23000,23007
"동,식물원(05)",05000,05500
동물원(05),05500,05501
식물원(05),05500,05502
수족관(05),05500,05503
"기타동,식물원(05)",05500,05599
기타문화및집회시설(05),05000,05999
지역건강보험조합(03),03100,03114
총포판매사(04),04000,04032
인터넷컴퓨터게임시설제공업의시설(04),04000,04037
청소년게임제공업의시설(04),04000,04038
복합유통게임제공업의시설(04),04000,04039
고시원(04),04000,04035
고시원(04),04000,04029
종교시설(06),00000,06000
가스배관시설(03),03000,03033
종교집회장(06),06000,06100
교회(06),06100,06101
성당(06),06100,06102
사찰(06),06100,06103
기도원(06),06100,06104
수도원(06),06100,06105
수녀원(06),06100,06106
제실(06),06100,06107
사당(06),06100,06108
봉안당(06),06100,06110
기타종교집회장(06),06100,06199
기타종교시설(06),06000,06999
기타(Z0),00000,Z0000
판매시설(07),00000,07000
도매시장(07),07000,07300
농수산물도매시장(07),07300,07301
농수산물공판장(07),07300,07302
기타도매시장(07),07300,07399
소매시장(07),07000,07100
시장(07),07100,07101
백화점(07),07100,07102
대형백화점(07),07100,07103
대형점(07),07100,07104
쇼핑센터(07),07100,07105
기타소매시장(07),07100,07199
상점(07),07000,07200
상점(소매점)(07),07200,07201
청소년게임제공업의시설(07),07200,07209
일반게임제공업의시설(07),07200,07212
인터넷컴퓨터게임시설제공업의시설(07),07200,07211
복합유통게임제공업의시설(07),07200,07210
기타판매시설(07),07000,07999
운수시설(08),00000,08000
여객자동차터미널(08),08000,08001
철도시설(08),08000,08007
공항시설(08),08000,08004
항만시설(08),08000,08008
기타운수시설(08),08000,08999
의료시설(09),00000,09000
병원(09),09000,09100
종합병원(09),09100,09101
병원(09),09100,09107
치과병원(09),09100,09103
한방병원(09),09100,09104
정신병원(09),09100,09105
요양병원(09),09100,09109
산부인과병원(09),09100,09102
기타병원(09),09100,09199
격리병원(09),09000,09200
전염병원(09),09200,09201
마약진료소(09),09200,09202
기타격리병원(09),09200,09299
기타의료시설(09),09000,09999
교육연구시설(10),00000,10000
학교(10),10000,10100
유치원(10),10100,10107
초등학교(10),10100,10101
중학교(10),10100,10102
고등학교(10),10100,10103
전문대학(10),10100,10105
대학(10),10100,10106
대학교(10),10100,10104
기타학교(10),10100,10199
교육원(10),10000,10200
교육원(10),10200,10201
연수원(10),10200,10202
기타교육원(10),10200,10299
직업훈련소(10),10000,10002
학원(10),10000,10400
학원(10),10400,10401
교습소(10),10400,10402
연구소(10),10000,10300
연구소(10),10300,10301
시험소(10),10300,10302
계측계량소(10),10300,10303
기타연구소(10),10300,10399
도서관(10),10000,10005
기타교육연구시설(10),10000,10999
노유자시설(11),00000,11000
아동관련시설(11),11000,11100
어린이집(11),11100,11103
아동복지시설(11),11100,11104
영유아보육시설(11),11100,11102
기타아동관련시설(11),11100,11199
노인복지시설(11),11000,11201
사회복지시설(11),11000,11202
근로복지시설(11),11000,11203
기타노유자시설(11),11000,11999
수련시설(12),00000,12000
생활권수련시설(12),12000,12100
청소년수련관(12),12100,12105
청소년문화의집(12),12100,12103
청소년특화시설(12),12100,12104
기타생활권수련시설(12),12100,12199
자연권수련시설(12),12000,12200
청소년수련원(12),12200,12203
청소년야영장(12),12200,12202
기타자연권수련시설(12),12200,12299
유스호스텔(12),12000,12001
야영장시설(12),12000,12300
관리동(12),12300,12301
화장실(12),12300,12302
샤워실(12),12300,12303
대피소(12),12300,12304
취사시설(12),12300,12305
기타야영장시설(12),12300,12399
기타수련시설(12),12000,12999
운동시설(13),00000,13000
탁구장(13),13000,13003
체육도장(13),13000,13004
테니스장(13),13000,13005
체력단련장(13),13000,13006
에어로빅장(13),13000,13007
볼링장(13),13000,13008
당구장(13),13000,13009
실내낚시터(13),13000,13010
골프연습장(13),13000,13011
놀이형시설(13),13000,13014
체육관(13),13000,13001
운동장(13),13000,13100
육상장(13),13100,13101
구기장(13),13100,13102
볼링장(13),13100,13103
수영장(13),13100,13104
스케이트장(13),13100,13105
롤러스케이트장(13),13100,13106
승마장(13),13100,13107
사격장(13),13100,13108
궁도장(13),13100,13109
골프장(13),13100,13110
기타 운동시설(13),13000,13999
업무시설(14),00000,14000
공공업무시설(14),14000,14100
국가기관청사(14),14100,14101
자치단체청사(14),14100,14102
외국공관(14),14100,14103
기타공공업무시설(14),14100,14199
일반업무시설(14),14000,14200
금융업소(14),14200,14201
사무소(14),14200,14204
결혼상담소(14),14200,14205
출판사(14),14200,14206
신문사(14),14200,14203
오피스텔(14),14200,14202
기타일반업무시설(14),14200,14299
숙박시설(15),00000,15000
일반숙박시설(15),15000,15100
일반숙박시설(15),15100,15104
기타일반숙박시설(15),15100,15199
생활숙박시설(15),15000,15002
관광숙박시설(15),15000,15200
관광호텔(15),15200,15201
수상관광호텔(15),15200,15202
한국전통호텔(15),15200,15203
가족호텔(15),15200,15204
호스텔(15),15200,15206
소형호텔(15),15200,15207
의료관광호텔(15),15200,15208
휴양콘도미니엄(15),15200,15205
기타관광숙박시설(15),15200,15299
다중생활시설(15),15000,15003
기타숙박시설(15),15000,15999
위락시설(16),00000,16000
단란주점(16),16000,16001
유흥주점(16),16000,16002
유원시설업의시설(16),16000,16009
무도장(16),16000,16010
무도학원(16),16000,16011
카지노영업소(16),16000,16012
기타위락시설(16),16000,16999
공장(17),00000,17000
유해공장(17),17000,17200
물품공장(17),17000,17300
물품 제조공장(17),17300,17301
물품 가공공장(17),17300,17302
물품 염색공장(17),17300,17303
물품 도장공장(17),17300,17304
물품 표백공장(17),17300,17305
물품 재봉공장(17),17300,17306
물품 건조공장(17),17300,17307
물품 인쇄공장(17),17300,17308
물품 수리공장(17),17300,17309
기타공장(17),17000,17999
창고시설(18),00000,18000
창고(18),18000,18100
일반창고(18),18100,18101
냉장창고(18),18100,18102
냉동창고(18),18100,18103
하역장(18),18000,18002
물류터미널(18),18000,18003
집배송시설(18),18000,18004
기타창고시설(18),18000,18999
위험물저장및처리시설(19),00000,19000
주유소(19),19000,19001
석유판매소(19),19000,19009
액화석유가스충전소(19),19000,19002
액화석유가스판매소(19),19000,19011
액화석유가스저장소(19),19000,19012
위험물제조소(19),19000,19003
위험물저장소(19),19000,19004
